STATE ABBREVIATION,DISTRICT,FEC ID,INCUMBENT INDICATOR,FIRST NAME,LAST NAME,PARTY,PRIMARY,PRIMARY %,RUNOFF,RUNOFF %,GENERAL,GENERAL %
AR,,n/a,,,,,,,,,,
AR,2,H0AR02107,(I),Tim ,Griffin,R,Unopposed,,,,"158,175",55.19%
AR,2,H2AR02053,,Herb,Rule,D,Unopposed,,,,"113,156",39.48%
AR,2,H2AR02079,,Barbara,Ward,GRE,,,,,"8,566",2.99%
AR,2,H2AR02061,,Chris,Hayes,LIB,,,,,"6,701",2.34%
AR,2,n/a,,,,,,,,,"286,598",
AR,,n/a,,,,,,,,,,
AR,3,H0AR03055,(I),Steve,Womack,R,Unopposed,,,,"186,467",75.90%
AR,3,H2AR03242,,Ken,Aden,D,Unopposed,,,,,
AR,3,H2AR03259,,Rebekah,Kennedy,GRE,,,,,"39,318",16.01%
AR,3,H2AR03267,,David,Pangrac,LIB,Unopposed,,,,"19,875",8.09%
AR,3,n/a,,,,,,,,,"245,660",
AR,,n/a,,,,,,,,,,
AR,4,H2AR04083,,Tom,Cotton,R,"20,899",57.55%,,,"154,149",59.53%
AR,4,H0AR04079,,Beth Anne,Rankin,R,"13,460",37.07%,,,,
AR,4,H2AR04117,,John ,Cowart,R,"1,953",5.38%,,,,
AR,4,n/a,,,,R,"36,312",,,,,
AR,4,H2AR04109,,Gene,Jeffress,D,"23,848",43.02%,"15,266",60.67%,"95,013",36.69%
AR,4,H2AR04133,,Q. Byrum,Hurst,D,"19,812",35.74%,"9,895",39.33%,,
AR,4,H2AR04125,,DC,Morrison,D,"11,771",21.24%,,,,
AR,4,n/a,,,,D,"55,431",,"25,161",,,
AR,4,H2AR04141,,Bobby,Tullis,LIB,,,,,"4,984",1.92%
AR,4,H8AR04098,,J. Joshua,Drake,GRE,,,,,"4,807",1.86%
AR,4,n/a,,,,,,,,,,
AR,4,n/a,,,,,"91,743",,"25,161",,"258,953",
AR,,n/a,,,,,,,,,,
AR,H,n/a,,,,,"148,145",,"44,926",,"1,038,054",
,,n/a,,,,,,,,,,
CA,,n/a,,,,,,,,,,
CA,1,H2CA02142,,Doug,La Malfa,R,"66,527",37.93%,,,"168,827",57.38%
CA,1,H0CA02138,,Jim,Reed,D,"43,409",24.75%,,,"125,386",42.62%
CA,1,H2CA01110,,Sam ,Aanestad,R,"25,224",14.38%,,,,
CA,1,H2CA01128,,Michael ,Dacquisto,R,"10,530",6.00%,,,,
CA,1,H0CA02120,,Pete,Stiglich,R,"10,258",5.85%,,,,
CA,1,H4CA03054,,Nathan ,Arrowsmith,D,"8,598",4.90%,,,,
CA,1,H2CA01151,,Gary Allen,Oxley,NOP,"5,901",3.36%,,,,
CA,1,H2CA01136,,Gregory ,Cheadle,R,"4,939",2.82%,,,,
CA,1,n/a,,,,,"175,386",,,,"294,213",
CA,,n/a,,,,,,,,,,
CA,2,H2CA06259,,Jared ,Huffman,D,"63,922",37.49%,,,"226,216",71.24%
