Date,Open,High,Low,Close,Volume,Adjusted Close
2012-04-23,318.08,318.37,314.11,317.9,0.0,317.9
2012-04-20,325.05,325.45,322.19,322.28,0.0,322.28
2012-04-19,324.83,330.29,322.22,323.7,0.0,323.7
2012-04-18,323.06,325.53,322.44,324.16,0.0,324.16
2012-04-17,320.06,325.11,320.06,323.88,0.0,323.88
2012-04-16,323.32,323.32,316.11,318.27,0.0,318.27
2012-04-13,324.67,324.94,321.18,321.47,0.0,321.47
2012-04-12,321.12,326.15,320.51,325.65,0.0,325.65
2012-04-11,319.55,321.85,318.61,319.95,0.0,319.95
2012-04-10,322.78,324.67,316.43,316.81,0.0,316.81
2012-04-09,320.97,323.98,320.4,322.71,0.0,322.71
2012-04-05,325.42,326.29,324.11,325.72,0.0,325.72
2012-04-04,327.76,328.55,323.5,325.42,0.0,325.42
2012-04-03,332.35,333.25,329.58,331.2,0.0,331.2
2012-04-02,332.22,334.2,329.63,333.13,0.0,333.13
2012-03-30,334.44,334.6,330.36,332.22,0.0,332.22
2012-03-29,328.95,333.1,328.17,332.63,0.0,332.63
2012-03-28,333.16,333.99,328.06,330.34,0.0,330.34
2012-03-27,334.78,336.24,333.15,333.26,0.0,333.26
2012-03-26,330.67,334.68,330.59,334.66,0.0,334.66
2012-03-23,326.31,328.17,324.14,327.88,0.0,327.88
2012-03-22,324.23,326.72,324.06,326.01,0.0,326.01
2012-03-21,324.91,327.89,324.71,326.34,0.0,326.34
2012-03-20,323.54,325.74,321.73,325.02,0.0,325.02
2012-03-19,322.52,327.77,322.17,326.05,0.0,326.05
2012-03-16,321.07,323.09,320.18,322.77,0.0,322.77
2012-03-15,317.49,320.53,316.96,320.47,0.0,320.47
2012-03-14,318.96,319.35,316.14,317.52,0.0,317.52
2012-03-13,315.35,319.56,314.61,319.54,0.0,319.54
2012-03-12,314.62,315.93,311.94,313.46,0.0,313.46
2012-03-09,312.87,315.54,312.87,314.72,0.0,314.72
2012-03-08,311.07,313.23,310.37,312.63,0.0,312.63
2012-03-07,307.6,309.49,307.47,308.66,0.0,308.66
2012-03-06,306.91,306.91,304.06,305.41,0.0,305.41
2012-03-05,312.49,313.11,308.93,309.47,0.0,309.47
2012-03-02,314.2,316.0,312.84,313.64,0.0,313.64
2012-03-01,312.8,316.1,312.45,315.05,0.0,315.05
2012-02-29,316.37,316.9,312.26,312.29,0.0,312.29
2012-02-28,315.13,317.24,314.5,316.2,0.0,316.2
2012-02-27,312.07,315.51,310.93,314.2,0.0,314.2
2012-02-24,314.55,316.18,314.35,314.71,0.0,314.71
2012-02-23,312.53,314.13,310.03,313.69,0.0,313.69
2012-02-22,313.7,315.38,312.15,312.53,0.0,312.53
2012-02-21,316.21,317.92,313.29,314.71,0.0,314.71
2012-02-17,317.57,317.57,314.08,316.01,0.0,316.01
2012-02-16,313.33,317.58,312.03,317.23,0.0,317.23
2012-02-15,314.93,317.84,312.57,313.51,0.0,313.51
2012-02-14,313.73,315.19,311.85,314.27,0.0,314.27
2012-02-13,312.86,315.03,312.84,314.43,0.0,314.43
2012-02-10,312.27,314.34,311.79,312.84,0.0,312.84
2012-02-09,315.72,315.97,312.57,315.69,0.0,315.69
2012-02-08,312.99,314.98,311.18,313.73,0.0,313.73
2012-02-07,310.68,313.03,309.58,312.18,0.0,312.18
2012-02-06,310.72,312.11,309.86,311.52,0.0,311.52
2012-02-03,309.85,313.2,309.66,312.88,0.0,312.88
2012-02-02,305.4,307.48,304.88,306.99,0.0,306.99
2012-02-01,300.75,305.86,300.16,304.39,0.0,304.39
2012-01-31,302.49,302.99,298.82,300.75,0.0,300.75
2012-01-30,299.86,302.04,297.93,301.23,0.0,301.23
2012-01-27,297.51,302.62,297.3,302.02,0.0,302.02
