CID,Name,Party,Cycle,Industry,Industry Code,Total,PACs,Individuals,Origin,Last Updated,Source,,,,,,,
N00009926,Bill Nelson,D,2014,Retired,W06,901503,0,901503,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00009926&cycle=2014,,,,,,,
N00007876,Patty Murray,D,2014,Retired,W06,884346,0,884346,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00007876&cycle=2014,,,,,,,
N00009869,Orrin G. Hatch,R,2014,Pharmaceuticals/Health Products,H04,865001,584941,280060,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00009869&cycle=2014,,,,,,,
N00024852,John Cornyn,R,2014,Health Professionals,H01,864296,240546,623750,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00024852&cycle=2014,,,,,,,
N00012539,Mark Kirk,R,2014,Lawyers/Law Firms,K01,859154,80139,779015,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00012539&cycle=2014,,,,,,,
N00009975,Lindsey Graham,R,2014,Securities & Investment,F07,858433,48982,809451,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00009975&cycle=2014,,,,,,,
N00005395,Mary L. Landrieu,D,2014,Retired,W06,857012,0,857012,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00005395&cycle=2014,,,,,,,
N00009922,Harry Reid,D,2014,Health Professionals,H01,853606,354800,498806,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00009922&cycle=2014,,,,,,,
N00004367,Tammy Baldwin,D,2014,Retired,W06,843458,0,843458,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00004367&cycle=2014,,,,,,,
N00033085,Ted Cruz,R,2014,Retired,W06,842200,0,842200,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00033085&cycle=2014,,,,,,,
N00007876,Patty Murray,D,2014,Lawyers/Law Firms,K01,833056,137838,695218,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00007876&cycle=2014,,,,,,,
